¥Î·Ñ¶q(¸U¾·),OP(%)
2.6176,12.32
2.3227,13.39
2.2039,12.49
1.765,12.3
1.9732,12.36
2.1195,12.4
2.1283,12.4
2.1769,12.27
2.2846,12.43
2.2133,12.55
2.4625,13.14
2.4772,12.95
2.3099,12.2
2.7485,12.27
2.9275,11.94
3.0645,12.75
2.5051,12.04
2.1531,12.12
1.738,12.54
1.6663,12.94
2.3694,13.42
2.2239,12.6
2.432,12.52
2.6432,12.62
3.1318,12.92
2.3648,12.57
2.4699,12.57
2.5812,12.75
2.7181,12.74
2.6554,12.59
2.6526,12.94
3.0263,11.2
2.4985,12.56
2.7172,12.15
2.7764,12.34
3.1546,12.41
3.0648,13.05
2.9833,12.71
2.7361,12.38
2.5183,12.26
2.2809,12.44
2.6918,12.44
3.028,12.93
2.3066,12.5
2.0669,12.4
1.9587,12.48
2.3503,12.38
2.3001,12.43
2.2023,12.41
2.5236,12.5
2.3309,12.48
2.2791,12.55
2.3705,12.56
2.2009,12.53
2.3107,12.52
2.5263,12.77
2.4739,11.82
2.2896,12.49
2.1505,12.48
1.8056,12.51
1.799,12.51
1.7475,12.45
2.7487,12.78
2.7674,12.53
2.3837,12.42
2.648,13.58
2.723,12.66
2.2331,12.8
2.1125,12.61
2.5026,12.63
2.4206,12.59
2.332,12.73
2.2941,12.76
2.8715,12.62
2.5675,12.53
2.5273,12.55
1.968,12.73
2.4329,11.6
2.421,14.14
2.5856,12.65
2.4684,12.76
2.0442,12.68
2.0769,12.63
1.6639,12.61
1.6074,12.87
2.0313,12.77
1.8584,12.85
2.0452,12.79
2.0773,12.69
2.0067,12.67
2.3375,13.08
2.413,12.98
2.3255,12.57
2.1765,12.58
2.1724,12.66
1.9378,12.61
1.8269,14.17
1.9709,13.45
2.0329,13.56
2.1168,12.66
2.5114,12.73
2.3749,12.96
1.8624,12.69
1.9231,12.68
2.5056,13.45
3.2497,12.73
3.2089,12.61
2.932,11.96
3.5026,13.31
2.463,12.6
2.6198,12.44
2.6204,13.56
2.5995,12.27
2.9515,12.43
2.7506,12.22
3.1646,14.38
3.502,12.73
2.6383,12.26
2.8199,12.38
2.8853,12.38
3.0176,12.34
4.0579,13.34
3.491,12.35
2.6089,12.37
2.8526,12.36
3.4865,12.33
4.0928,12.37
4.7548,12.88
3.9897,12.44
4.4661,12.66
4.451,12.63
3.9953,12.23
4.3729,12.37
4.4597,12.63
4.4633,13.18
5.1565,13.7
5.3994,12.63
4.1137,12.62
4.1105,12.43
4.9006,13.36
3.9011,11.71
3.6356,12.33
3.4334,12.28
3.9711,12.33
3.701,12.28
3.0026,12.23
2.3145,12.31
3.3834,12.4
3.8923,12.5
3.4353,12.38
3.8176,12.43
3.1415,12.3
3.3877,12.78
2.6303,12.54
2.5992,12.59
2.4157,12.76
3.4755,12.57
3.7417,12.5
3.0651,12.32
2.9015,12.31
3.3894,12.25
3.3988,12.24
3.6671,12.21
3.9925,12.49
3.9153,12.35
3.558,12.5
3.4393,12.11
4.1137,12.29
3.0159,14.18
3.3474,12.51
3.5119,12.49
3.876,12.6
3.3074,12.53
3.4055,12.57
4.0371,12.68
4.3097,12.65
4.0442,12.69
3.8702,12.55
4.5419,12.65
4.5462,13.35
4.0327,12.46
4.185,13.16
4.1295,12.89
4.3848,12.86
4.6802,13.1
4.6544,13.45
4.2069,13.36
4.3437,13.19
4.2373,13.53
4.5686,13.11
4.6794,13.25
4.6727,13.21
4.8991,12.96
4.7881,13.33
4.499,12.38
4.3767,12.85
4.8565,13.61
5.0082,12.82
4.6155,12.51
4.3898,13.65
4.7474,13.2
4.4274,14.47
4.7885,13.18
4.9307,13.4
4.7686,13.13
4.6053,13.44
4.7751,12.97
4.4302,13.47
3.8681,12.5
4.2607,12.63
4.3189,12.64
4.7862,13.31
4.2407,12.51
4.1557,12.02
4.26,13.13
3.9693,12.41
4.0616,12.43
4.7212,12.88
4.9218,13.19
5.0081,13.26
4.9484,13.26
4.6391,13.16
4.6827,13.33
5.0465,13.21
4.5928,13.59
4.5345,13.18
4.8163,13.02
4.6203,13.41
4.4793,13.13
4.6123,13.51
4.6677,14.29
4.5994,13.93
4.7036,13.66
4.0498,13.64
3.6175,13.38
2.9136,12.48
3.0376,12.48
3.8295,13.09
3.4218,13.05
3.6363,13.01
3.8146,13.04
3.638,13.6
3.5195,13.02
3.9979,12.96
4.6243,14.24
4.6492,14.38
4.6048,13.78
4.4021,13.87
3.9442,15.15
3.3135,12.59
3.2298,12.93
4.0578,13.8
4.3476,14.15
4.0383,13.48
4.059,13.24
3.9074,14.22
3.5652,13.66
3.4189,12.76
4.1827,14.43
4.1272,14.45
4.0781,13.46
3.9503,13.97
4.1554,13.52
3.9616,13.59
3.5577,12.99
3.8188,13.08
4.5048,13.46
4.2928,13.9
4.4292,14.63
4.3212,13.38
4.4536,13.43
4.048,14.62
3.4329,13.24
3.553,13.49
4.6558,13.54
4.385,13.35
3.8986,13.27
3.5689,13.33
3.3636,13.05
3.016,13.16
3.2184,13.24
3.2015,13.44
3.4306,13.53
3.7896,13.56
3.5951,13.42
3.7969,13.3
4.2468,14.53
4.508,14.07
4.4586,15.37
4.6801,14.29
4.6134,14.28
4.2937,13.34
4.2151,13.34
4.3332,13.67
4.5395,14.63
4.3432,13.82
4.1729,14.9
3.8869,13.07
3.5273,13.34
2.8796,12.83
3.2872,14.45
2.4706,13.48
2.8737,13.86
2.5003,13.89
3.418,13.42
2.9951,13.48
2.7733,13.64
2.2052,13.34
2.4281,13.16
2.4218,13.3
2.2503,12.81
2.1347,12.84
2.2129,12.91
2.181,12.77
2.6431,12.88
2.4158,13.18
2.9224,13.15
3.1072,12.97
3.0324,14.23
2.1221,16.33
2.1252,12.92
2.6882,12.66
3.205,13.45
2.9725,13.47
2.7642,13.15
2.6191,12.95
2.2586,12.6
2.1869,12.63
2.2796,12.8
2.1767,12.62
2.6616,12.58
3.1631,12.9
2.9943,12.63
3.0819,12.65
3.0415,12.7
3.4179,12.93
3.3468,12.83
3.3942,12.35
3.4997,12.92
3.6866,12.44
2.5426,12.18
2.3181,12.23
2.2399,12.38
2.4241,12.42
2.1971,12.21
3.154,12.85
2.4926,12.38
2.4642,12.38
2.2327,13.03
2.5825,12.4
2.8243,11.95
3.2415,12.55
3.2418,12.16
2.524,11.98
2.4328,11.84
2.4672,11.81
2.9734,11.94
2.7595,11.9
3.614,13.18
2.7848,12.33
2.2374,11.99
1.8732,12.09
2.268,12.22
2.5541,13.29
3.1635,13.12
